,title,href,tag,summary
0,Russia launches ninth Kyiv air attack this month,/news/world-europe-65630022,Europe,"All missiles over the capital were shot down, but falling debris caused some damage, Ukraine says."
1,NY truck attacker sentenced to hundreds of years,https://www.bbc.com/news/world-us-canada-65632186,US,
2,Woman sues boss believing 'xx' in email were kisses,https://www.bbc.com/news/uk-england-london-65632912,UK,
3,How America got UK Chinese food wrong,https://www.bbc.com/travel/article/20230517-why-has-british-chinese-food-shocked-the-us,World's Table,
4,Lebanon's unexpected solar boom,https://www.bbc.com/future/article/20230517-how-solar-power-is-keeping-lebanons-lights-on,Future,
5,"Meghan and Harry looked nervous, says taxi driver",/news/world-us-canada-65629160,US & Canada,"""I think they were being chased the whole day or something,"" says New Yorker Sonny Singh."
6,"Suspected leaker was warned multiple times, US says",/news/world-us-canada-65625524,US & Canada,"A 21-year-old accused of leaking classified files ignored warnings from his superiors, prosecutors say."
7,Bible becomes world's most valuable manuscript,/news/world-middle-east-65632624,Middle East,"The 1,100-year-old Codex Sassoon sells at auction for $38m - a record for handwritten text."
8,Premier League news conferences & Man City reaction,/sport/live/football/65631046,Football,"Updates including Aston Villa, Everton and Leicester, while Manchester City are three wins away from historic Treble."
9,"County Championship, day one - Robinson in the wickets, radio & text",/sport/live/cricket/64957758,Cricket,Follow live text updates and BBC radio commentary from the first day of the seventh round of the 2023 County Championship.
10,'Moment of greatness from perfectionist Guardiola',/sport/football/65629999,Football,"Any doubts about Manchester City's greatness should be erased after their win over Real Madrid, says Phil McNulty."
11,Four Japanese rules to live past 100,/reel/video/p07xdbyb/four-japanese-rules-to-live-past-100,,
12,Life against the odds in Australia's underground town,/reel/video/p07qsdg9/life-against-the-odds-in-australia-s-underground-town,,
13,India's engineering time capsule that defeated European armies,/reel/video/p0fngc6l/a-marvel-of-engineering-on-india-s-west-coast,,
14,How AI will transform your workday,https://www.bbc.com/worklife/article/20230515-workplace-ai-how-artificial-intelligence-will-transform-the-workday,Worklife,AI is here. There's lots for workers to be excited about
15,The people eating jellyfish,https://www.bbc.com/future/article/20230517-could-restaurants-solve-the-worlds-jellyfish-problem,Future,Jellyfish blooms can swamp entire ecosystems. Should we be eating them?
16,Monster is 'a marvel' and 'bittersweet',https://www.bbc.com/culture/article/20230518-monster-review-a-marvel-and-bittersweet,Culture,Hirokazu Kore-eda's 'compassionate' follow-up to Broker chronicles untidy lives
17,Tokyo's best public bathhouses,https://www.bbc.com/travel/article/20230516-tokyos-five-best-sento-public-bathhouses,Travel,"Soaking in a ""sento"" is one of Japan's great pleasures"
18,'We are selling a product that we hope gets discontinued',https://www.bbc.com/news/business-65572881,Business,The firms aiming to help eradicate invasive species by making commercial use of them
19,Taiwan looms large as Japan prepares to host G7,https://www.bbc.com/news/world-asia-65619249,Asia,"As China becomes more assertive, Taiwan's security has become a growing concern for Japan"
20,The girl whose parents were deported while she was at school,https://www.bbc.com/news/world-middle-east-65608280,Middle East,Lebanese authorities are stepping up a campaign to deport Syrians who they say are there illegally
21,The 1968 photo that changed the world,/future/article/20230511-earthrise-the-photo-that-sparked-an-environmental-movement,,
22,What 1.5C living actually looks like,/future/article/20230504-the-people-living-ultra-low-carbon-lifestyles,,
23,The revival of a historic Italian fruit,/future/article/20230424-how-agrivoltaics-helped-save-italys-citron-and-lemon-trees,,
24,Scans of Titanic reveal wreck as never seen before,https://www.bbc.com/news/science-environment-65602182,Science & Environment,"Full-sized digital scans reveal shipwreck in stunning detail, showing unopened champagne bottles"
25,Bills set to rise to pay for £10bn sewage clean-up,/news/science-environment-65626241,Science & Environment,
26,S Club 7's Paul Cattermole died of natural causes,/news/entertainment-arts-65633872,Entertainment & Arts,
27,Watergate reporters express concerns over AI,/news/entertainment-arts-65609965,Entertainment & Arts,
28,North Carolina bans abortion after 12 weeks,/news/world-us-canada-65615310,US & Canada,
29,Will $3bn IMF loan solve Ghana's economic crisis?,/news/world-africa-65622715,Africa,
30,Slurping Spaghetti and other food photo contest winners,/news/in-pictures-65549869,In Pictures,
31,In pictures: Electric rally at an old coal mine,/news/uk-scotland-south-scotland-65596103,South Scotland,
32,In pictures: Eurovision performances fire up fans,/news/in-pictures-65584321,In Pictures,
33,Angel wings and chess champs: Africa's top shots,/news/world-africa-65504006,Africa,
34,The Coronation concert and street parties in pictures,/news/uk-65519358,UK,
35,Must see pictures from the King's Coronation,/news/uk-65506969,UK,
